FECHA FACT.,FACTURA DATAICO,ORDEN DATAICO,ORDEN SIGES,VALOR SIGES,ESTADO,MOTIVO,VERIFICACION
03/06/2025 08:11:18,FEEJ42991,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:11:27,FEEJ42992,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:11:36,FEEJ42993,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:11:45,FEEJ42994,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:11:55,FEEJ42995,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:12:05,FEEJ42996,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:12:20,FEEJ42997,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:12:29,FEEJ42998,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:12:38,FEEJ42999,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:12:47,FEEJ43000,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:12:55,FEEJ43001,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:13:05,FEEJ43002,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:13:14,FEEJ43003,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:13:23,FEEJ43004,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:13:32,FEEJ43005,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:13:40,FEEJ43006,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:13:49,FEEJ43007,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:13:58,FEEJ43008,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:14:07,FEEJ43009,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:14:15,FEEJ43010,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:14:25,FEEJ43011,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:14:33,FEEJ43012,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:14:42,FEEJ43013,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:14:51,FEEJ43014,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:15:00,FEEJ43015,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:15:09,FEEJ43016,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:15:18,FEEJ43017,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:15:27,FEEJ43018,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:15:37,FEEJ43019,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:15:46,FEEJ43020,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:15:55,FEEJ43021,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:16:03,FEEJ43022,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:16:12,FEEJ43023,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:16:20,FEEJ43024,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:16:29,FEEJ43025,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:16:38,FEEJ43026,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:16:47,FEEJ43027,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:16:56,FEEJ43028,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:17:04,FEEJ43029,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:17:13,FEEJ43030,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:17:22,FEEJ43031,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:17:32,FEEJ43032,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:17:40,FEEJ43033,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:17:49,FEEJ43034,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:17:58,FEEJ43035,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:18:07,FEEJ43036,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:18:17,FEEJ43037,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:18:43,FEEJ43038,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:18:52,FEEJ43039,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:19:00,FEEJ43040,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:19:09,FEEJ43041,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:19:17,FEEJ43042,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:19:26,FEEJ43043,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:19:35,FEEJ43044,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:19:44,FEEJ43045,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:19:53,FEEJ43046,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:20:02,FEEJ43047,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:20:11,FEEJ43048,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:20:20,FEEJ43049,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:20:29,FEEJ43050,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:20:38,FEEJ43051,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:20:47,FEEJ43052,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:20:56,FEEJ43053,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:21:05,FEEJ43054,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:21:14,FEEJ43055,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:21:23,FEEJ43056,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:21:32,FEEJ43057,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:21:42,FEEJ43058,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:21:51,FEEJ43059,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:21:59,FEEJ43060,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:22:09,FEEJ43061,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:22:19,FEEJ43062,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:22:28,FEEJ43063,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:22:37,FEEJ43064,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:22:46,FEEJ43065,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:22:55,FEEJ43066,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:23:03,FEEJ43067,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:23:12,FEEJ43068,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:23:21,FEEJ43069,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:23:30,FEEJ43070,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:23:39,FEEJ43071,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:23:48,FEEJ43072,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:23:57,FEEJ43073,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:24:06,FEEJ43074,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:24:15,FEEJ43075,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:24:24,FEEJ43076,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:24:33,FEEJ43077,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:24:41,FEEJ43078,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:24:50,FEEJ43079,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:24:59,FEEJ43080,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:25:09,FEEJ43081,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:25:19,FEEJ43082,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:25:27,FEEJ43083,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:25:37,FEEJ43084,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:25:45,FEEJ43085,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:25:55,FEEJ43086,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:26:04,FEEJ43087,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:26:13,FEEJ43088,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:26:22,FEEJ43089,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:26:31,FEEJ43090,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:26:39,FEEJ43091,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:26:49,FEEJ43092,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:27:00,FEEJ43093,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:27:09,FEEJ43094,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:27:18,FEEJ43095,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:27:28,FEEJ43096,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:27:37,FEEJ43097,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:27:46,FEEJ43098,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:27:55,FEEJ43099,369,,,NO SUBIDA,REPETIDA,CANASTILLA
